Time,bitstamp,cex.io,coinbase,exmo,gemini,hitbtc,itbit,kraken,others
2018-04-10 15:00:00 UTC,6833.734634,6819.344355,6820.371555,6983.873978,6824.541873,7056.849984,6820.15358,6826.024373,6770.820788
2018-04-10 16:00:00 UTC,6829.300576,6820.526136,6824.001691,6986.762024,6826.322305,7049.484688,6827.503095,6829.2106,6775.5153
2018-04-10 17:00:00 UTC,6850.774336,6842.457358,6850.290879,7007.127077,6848.101022,7068.023249,6850.365636,6855.657519,6786.744436
2018-04-10 18:00:00 UTC,6846.289103,6848.148558,6843.601005,6993.905773,6843.316662,7071.123205,6841.125823,6842.046588,6773.081278
2018-04-10 19:00:00 UTC,6844.155144,6830.139744,6838.888572,6970.635393,6833.511969,7071.673669,6835.659238,6836.882129,6788.161841
2018-04-10 20:00:00 UTC,6833.44988,6824.090244,6826.799514,6973.207672,6829.322417,7056.769914,6828.745167,6827.890441,6754.905409
2018-04-10 21:00:00 UTC,6848.215591,6830.405063,6841.447174,6978.923043,6843.937574,7074.62824,6845.240127,6844.102096,6784.50196
2018-04-10 22:00:00 UTC,6832.563525,6834.895089,6834.794489,6979.97633,6833.742059,7073.397437,6831.64096,6825.06962,6762.027375
2018-04-10 23:00:00 UTC,6815.680598,6811.479747,6806.807341,6955.025235,6803.193204,7042.621728,6806.692639,6805.65398,6755.805407
2018-04-11 00:00:00 UTC,6844.262036,6842.035,6837.766667,6975.266602,6842.782455,7085.35863,6842.110882,6846.467711,6794.650883
2018-04-11 01:00:00 UTC,6834.169824,6830.360317,6834.737387,6974.105728,6835.243456,7075.78364,6842.200405,6838.582734,6808.061432
2018-04-11 02:00:00 UTC,6844.864336,6864.014599,6842.172285,6962.144316,6843.327015,7090.521961,6847.009333,6846.128667,6835.614154
2018-04-11 03:00:00 UTC,6832.288589,6842.451613,6824.985853,6956.707048,6829.447905,7073.483422,6826.630875,6830.003836,6811.862035
2018-04-11 04:00:00 UTC,6831.449454,6840.806667,6820.936688,6944.815766,6824.134375,7056.18963,6819.893409,6828.511728,6772.600102
2018-04-11 05:00:00 UTC,6856.297819,6858.007563,6846.577879,6966.002497,6849.129034,7081.045273,6848.200444,6853.467692,6782.895804
2018-04-11 06:00:00 UTC,6830.866954,6822.49396,6823.041605,6939.860302,6821.469701,7036.183839,6827.161395,6825.151368,6772.50968
2018-04-11 07:00:00 UTC,6844.509413,6834.092308,6843.961725,6939.728351,6834.529123,7038.76586,6847.431176,6847.1595,6780.419031
2018-04-11 08:00:00 UTC,6851.506129,6836.241844,6850.178918,6937.816725,6842.431111,7051.0058,6851.988261,6853.516327,6780.066554
2018-04-11 09:00:00 UTC,6865.772784,6852.811765,6854.712228,6950.939843,6857.220442,7017.496776,6861.2202,6861.025796,6796.213327
2018-04-11 10:00:00 UTC,6853.121022,6844.106711,6846.220956,6933.442062,6840.406087,7005.684487,6847.709091,6843.829938,6785.13951
2018-04-11 11:00:00 UTC,6855.947047,6845.84,6842.42108,6932.847665,6836.404639,7005.187745,6846.610992,6832.554576,6833.562544
2018-04-11 12:00:00 UTC,6858.653808,6844.915152,6852.534083,6941.96351,6855.261935,7009.714347,6854.125814,6851.663873,6814.507046
2018-04-11 13:00:00 UTC,6931.723871,6910.693473,6921.432534,7011.43131,6928.799415,7071.678428,6925.32983,6925.843202,6880.919132
2018-04-11 14:00:00 UTC,6942.747908,6930.353211,6944.590719,7029.290415,6945.024791,7100.631861,6946.974891,6944.064648,6869.407228
2018-04-11 15:00:00 UTC,6934.107809,6925.781761,6927.09563,7017.280603,6927.91674,7105.85984,6930.095882,6928.388796,6863.704345
2018-04-11 16:00:00 UTC,6924.013918,6908.99,6920.116711,7007.653466,6921.931717,7097.71197,6924.644643,6923.431047,6854.865722
2018-04-11 17:00:00 UTC,6911.479857,6880.311211,6898.76855,6981.800731,6905.089188,7097.257349,6903.40575,6907.518561,6849.101806
2018-04-11 18:00:00 UTC,6907.431494,6881.498058,6901.789437,,6902.168803,7096.921785,6902.907115,6906.757684,6862.039059
2018-04-11 19:00:00 UTC,6913.437757,6901.778761,6907.11656,6975.117398,6908.232979,7094.372899,6903.92381,6909.769194,6882.114213
2018-04-11 20:00:00 UTC,6910.436339,6901.065487,6901.537104,6978.001068,6908.554443,7097.359153,6900.813437,6903.565875,6897.667197
2018-04-11 21:00:00 UTC,6895.76431,6896.015534,6891.162034,6965.40808,6888.947234,7093.267494,6891.741038,6891.36867,6912.921158
2018-04-11 22:00:00 UTC,6919.566717,6907.17551,6910.149427,6978.588929,6915.244623,7082.622437,6912.373168,6918.355641,6921.708166
2018-04-11 23:00:00 UTC,6944.828779,6938.521608,6942.661218,6984.193419,6944.946252,7126.863146,6927.599053,6946.527741,6913.657022
2018-04-12 00:00:00 UTC,6941.511212,6936.325641,6938.734796,6990.242961,6939.253543,7120.748698,6934.877328,6942.191207,6914.009396
2018-04-12 01:00:00 UTC,6916.164786,6923.238739,6913.941843,6980.366629,6918.378136,7069.555762,6911.820642,6910.539326,6918.057008
2018-04-12 02:00:00 UTC,6934.037042,6913.875385,6930.113889,7000.158871,6937.401888,7079.735429,6924.732213,6935.107317,6920.338859
2018-04-12 03:00:00 UTC,6944.802916,6909.784496,6940.971987,7002.426861,6945.64008,7072.044767,6932.450809,6942.066602,6934.622158
2018-04-12 04:00:00 UTC,6948.845581,6908.023256,6942.748544,6995.992178,6952.896732,7076.720343,6944.315909,6945.941606,6942.519655
2018-04-12 05:00:00 UTC,6944.683353,6901.00443,6940.878741,6993.513487,6950.016544,7086.744532,6938.030611,6945.834368,6944.360879
2018-04-12 06:00:00 UTC,6884.294503,6837.522014,6873.918624,6943.771281,6912.665284,7046.840977,6866.970414,6858.153187,6868.061678
2018-04-12 07:00:00 UTC,6817.739581,6785.345789,6807.676377,6888.218981,6808.386136,6971.678512,6802.126964,6805.187296,6787.690875
2018-04-12 08:00:00 UTC,6836.896178,6825.240714,6829.211435,6915.464936,6832.875298,6993.045542,6830.543871,6830.681651,6838.499928
2018-04-12 09:00:00 UTC,6832.550692,6831.632642,6834.574369,6924.994814,6839.795038,7002.399836,6833.138462,6833.000929,6839.839645
2018-04-12 10:00:00 UTC,6893.14697,6888.602523,6897.34353,6978.703671,6895.906063,7046.18005,6900.666585,6898.954213,6878.448174
2018-04-12 11:00:00 UTC,7567.749542,7589.750446,7588.773424,7421.577494,7556.98692,7712.405353,7582.969161,7557.079346,7495.677725
2018-04-12 12:00:00 UTC,7710.441817,7642.974436,7703.215767,7627.584126,7704.632265,7861.65791,7694.03879,7714.911069,7650.72787
2018-04-12 13:00:00 UTC,7692.143356,7634.270142,7689.798433,7603.78032,7699.600873,7897.183599,7686.163072,7696.134907,7619.499896
2018-04-12 14:00:00 UTC,7673.596913,7624.118132,7665.505283,7626.280621,7671.015013,7848.801444,7669.988242,7674.957858,7709.786288
2018-04-12 15:00:00 UTC,7637.056289,7601.251931,7618.752998,7604.81778,7622.746973,7816.59751,7633.38626,7636.215289,7626.619938
2018-04-12 16:00:00 UTC,7610.110821,7566.164254,7594.939358,7571.115444,7605.898948,7808.381487,7611.214734,7604.15603,7622.497555
2018-04-12 17:00:00 UTC,7707.078528,7653.863162,7692.992806,7671.649032,7698.054055,7886.525793,7689.423761,7712.48679,7690.343527
2018-04-12 18:00:00 UTC,7686.183847,7639.875969,7675.365282,7644.512642,7681.564681,7874.273713,7680.621133,7682.802022,7648.811341
2018-04-12 19:00:00 UTC,7703.038182,7676.16813,7696.556477,7655.18416,7702.795858,7885.355012,7696.866571,7708.641164,7698.307496
2018-04-12 20:00:00 UTC,7713.877133,7686.936705,7709.210867,7678.792127,7703.77846,7903.498078,7702.75758,7708.545778,7713.937137
2018-04-12 21:00:00 UTC,7805.008022,7791.62914,7814.475061,7796.644439,7800.972788,7987.210245,7807.081148,7834.419456,7780.969769
2018-04-12 22:00:00 UTC,7808.780974,7799.207792,7803.388945,7783.7445,7800.538772,8010.107944,7797.154203,7814.932991,7777.978573
2018-04-12 23:00:00 UTC,7900.91222,7910.138326,7896.898095,7882.279797,7894.831383,8141.837724,7903.03099,7901.937079,7830.936725
2018-04-13 00:00:00 UTC,7916.333421,7919.172093,7910.675174,7879.257769,7917.42209,8161.472497,7925.477799,7920.812508,7857.171428
2018-04-13 01:00:00 UTC,7829.669942,7807.714448,7822.576745,7769.640415,7812.760984,8054.34584,7822.529674,7823.032766,7807.369489
2018-04-13 02:00:00 UTC,7847.701059,7820.587783,7840.598195,7808.866956,7845.69252,8032.817622,7844.062698,7849.934722,7781.197607
2018-04-13 03:00:00 UTC,7859.662735,7850.228151,7859.282451,7825.742683,7846.929451,8065.473598,7858.021481,7861.268456,7827.080477
